,day,confirmed,recovered,deaths,date,country
276,38,137875,28001,14986,2020-04-13,France
277,39,131361,29098,15748,2020-04-14,France
278,40,134582,31470,17188,2020-04-15,France
279,41,147091,33327,17941,2020-04-16,France
280,42,149130,35006,18703,2020-04-17,France
281,43,149149,36587,19345,2020-04-18,France
282,44,154097,37183,19744,2020-04-19,France
283,45,156480,38036,20292,2020-04-20,France
284,46,159297,39819,20829,2020-04-21,France
285,47,157125,41326,21373,2020-04-22,France
286,48,159460,42762,21889,2020-04-23,France
287,49,159952,44271,22279,2020-04-24,France
288,50,161644,45372,22648,2020-04-25,France
289,51,162220,45681,22890,2020-04-26,France
290,52,165963,46293,23327,2020-04-27,France
291,53,169053,47775,23694,2020-04-28,France
292,54,166543,49118,24121,2020-04-29,France
293,55,167299,50380,24410,2020-04-30,France
294,56,167305,51124,24628,2020-05-01,France
295,57,168518,50663,24763,2020-05-02,France
296,58,168925,50885,24900,2020-05-03,France
297,59,169583,51476,25204,2020-05-04,France
298,0,670,17,0,2020-03-06,Germany
299,1,799,18,0,2020-03-07,Germany
300,2,1040,18,0,2020-03-08,Germany
301,3,1176,18,2,2020-03-09,Germany
302,4,1457,18,2,2020-03-10,Germany
303,5,1908,25,3,2020-03-11,Germany
304,6,2078,25,3,2020-03-13,Germany
305,7,3675,46,7,2020-03-12,Germany
306,8,4585,46,9,2020-03-14,Germany
307,9,5795,46,11,2020-03-15,Germany
308,10,7272,67,17,2020-03-16,Germany
309,11,9257,67,24,2020-03-17,Germany
310,12,12327,105,28,2020-03-18,Germany
311,13,15320,113,44,2020-03-19,Germany
312,14,19848,180,67,2020-03-20,Germany
313,15,22213,233,84,2020-03-21,Germany
314,16,24873,266,94,2020-03-22,Germany
315,17,29056,453,123,2020-03-23,Germany
316,18,32986,3243,157,2020-03-24,Germany
317,19,37323,3547,206,2020-03-25,Germany
318,20,43938,5673,267,2020-03-26,Germany
319,21,50871,6658,342,2020-03-27,Germany
320,22,57695,8481,433,2020-03-28,Germany
321,23,62095,9211,533,2020-03-29,Germany
322,24,66885,13500,645,2020-03-30,Germany
323,25,71808,16100,775,2020-03-31,Germany
324,26,77872,18700,920,2020-04-01,Germany
325,27,84794,22440,1107,2020-04-02,Germany
326,28,91159,24575,1275,2020-04-03,Germany
327,29,96092,26400,1444,2020-04-04,Germany
328,30,100123,28700,1584,2020-04-05,Germany
329,31,103374,28700,1810,2020-04-06,Germany
330,32,107663,36081,2016,2020-04-07,Germany
331,33,113296,46300,2349,2020-04-08,Germany
332,34,118181,52407,2607,2020-04-09,Germany
333,35,122171,53913,2767,2020-04-10,Germany
334,36,124908,57400,2736,2020-04-11,Germany
335,37,127854,60300,3022,2020-04-12,Germany
336,38,130072,64300,3194,2020-04-13,Germany
337,39,131359,68200,3294,2020-04-14,Germany
338,40,134753,72600,3804,2020-04-15,Germany
339,41,137698,77000,4052,2020-04-16,Germany
340,42,141397,83114,4352,2020-04-17,Germany
341,43,143342,85400,4459,2020-04-18,Germany
342,44,145184,88000,4586,2020-04-19,Germany
343,45,147065,91500,4862,2020-04-20,Germany
344,46,148291,95200,5033,2020-04-21,Germany
345,47,150648,99400,5279,2020-04-22,Germany
346,48,153129,103300,5575,2020-04-23,Germany
347,49,154999,109800,5760,2020-04-24,Germany
348,50,156513,109800,5877,2020-04-25,Germany
349,51,157770,112000,5976,2020-04-26,Germany
350,52,158758,114500,6126,2020-04-27,Germany
351,53,159912,117400,6314,2020-04-28,Germany
352,54,161539,120400,6467,2020-04-29,Germany
353,55,163009,123500,6623,2020-04-30,Germany
354,56,164077,126900,6736,2020-05-01,Germany
355,57,164967,129000,6812,2020-05-02,Germany
356,58,165664,130600,6866,2020-05-03,Germany
357,59,166152,132700,6993,2020-05-04,Germany
358,0,658,29,3,2020-03-25,Russia
359,1,840,38,3,2020-03-26,Russia
360,2,1036,45,4,2020-03-27,Russia
361,3,1264,49,4,2020-03-28,Russia
362,4,1534,64,8,2020-03-29,Russia
363,5,1836,66,9,2020-03-30,Russia
364,6,2337,121,17,2020-03-31,Russia
365,7,2777,190,24,2020-04-01,Russia
366,8,3548,235,30,2020-04-02,Russia
367,9,4149,281,34,2020-04-03,Russia
368,10,4731,333,43,2020-04-04,Russia
369,11,5389,355,45,2020-04-05,Russia
370,12,6343,406,47,2020-04-06,Russia
371,13,7497,494,58,2020-04-07,Russia
372,14,8672,580,63,2020-04-08,Russia
373,15,10131,698,76,2020-04-09,Russia
374,16,11917,795,94,2020-04-10,Russia
375,17,13584,1045,106,2020-04-11,Russia
376,18,15770,1291,130,2020-04-12,Russia
377,19,18328,1470,148,2020-04-13,Russia
378,20,21102,1694,170,2020-04-14,Russia
379,21,24490,1986,198,2020-04-15,Russia
380,22,27938,2304,232,2020-04-16,Russia
381,23,32008,2590,273,2020-04-17,Russia
382,24,36793,3057,313,2020-04-18,Russia
383,25,42853,3291,361,2020-04-19,Russia
384,26,47121,3446,405,2020-04-20,Russia
385,27,52763,3873,456,2020-04-21,Russia
386,28,57999,4420,513,2020-04-22,Russia
387,29,62773,4891,555,2020-04-23,Russia
388,30,68622,5568,615,2020-04-24,Russia
389,31,74588,6250,681,2020-04-25,Russia
390,32,80949,6767,747,2020-04-26,Russia
391,33,87147,7346,794,2020-04-27,Russia
392,34,93558,8456,867,2020-04-28,Russia
393,35,99399,10286,972,2020-04-29,Russia
394,36,106498,11619,1073,2020-04-30,Russia
395,37,114431,13220,1169,2020-05-01,Russia
396,38,124054,15013,1222,2020-05-02,Russia
397,39,134687,16639,1280,2020-05-03,Russia
398,40,145268,18095,1356,2020-05-04,Russia
399,0,670,0,9,2020-03-21,Turkey
400,1,1236,0,30,2020-03-22,Turkey
401,2,1529,0,37,2020-03-23,Turkey
402,3,1872,0,44,2020-03-24,Turkey
403,4,2433,26,59,2020-03-25,Turkey
404,5,3629,26,75,2020-03-26,Turkey
405,6,5698,42,92,2020-03-27,Turkey
406,7,7402,70,108,2020-03-28,Turkey
407,8,9217,105,131,2020-03-29,Turkey
408,9,10827,162,168,2020-03-30,Turkey
409,10,13531,243,214,2020-03-31,Turkey
410,11,15679,333,277,2020-04-01,Turkey
411,12,18135,415,356,2020-04-02,Turkey
412,13,20921,484,425,2020-04-03,Turkey
413,14,23934,786,501,2020-04-04,Turkey
414,15,27069,1042,574,2020-04-05,Turkey
415,16,30217,1326,649,2020-04-06,Turkey
416,17,34109,1582,725,2020-04-07,Turkey
417,18,38226,1846,812,2020-04-08,Turkey
418,19,42282,2142,908,2020-04-09,Turkey
419,20,47029,2423,1006,2020-04-10,Turkey
420,21,52167,2965,1101,2020-04-11,Turkey
421,22,56956,3446,1198,2020-04-12,Turkey
422,23,61049,3957,1296,2020-04-13,Turkey
423,24,65111,4799,1403,2020-04-14,Turkey
424,25,69392,5674,1518,2020-04-15,Turkey
425,26,74193,7089,1643,2020-04-16,Turkey
426,27,78546,8631,1769,2020-04-17,Turkey
427,28,82329,10453,1890,2020-04-18,Turkey
428,29,86306,11976,2017,2020-04-19,Turkey
429,30,90980,13430,2140,2020-04-20,Turkey
430,31,95591,14918,2259,2020-04-21,Turkey
431,32,98674,16477,2376,2020-04-22,Turkey
432,33,101790,18491,2491,2020-04-23,Turkey
433,34,104912,21737,2600,2020-04-24,Turkey
434,35,107773,25582,2706,2020-04-25,Turkey
435,36,110130,29140,2805,2020-04-26,Turkey
436,37,112261,33791,2900,2020-04-27,Turkey
437,38,114653,38809,2992,2020-04-28,Turkey
438,39,117589,44040,3081,2020-04-29,Turkey
439,40,120204,48886,3174,2020-04-30,Turkey
440,41,122392,53808,3258,2020-05-01,Turkey
441,42,124375,58259,3336,2020-05-02,Turkey
442,43,126045,63151,3397,2020-05-03,Turkey
443,44,127659,68166,3461,2020-05-04,Turkey
444,0,621,2,6,2020-03-19,Brazil
445,1,793,2,11,2020-03-20,Brazil
446,2,1021,2,15,2020-03-21,Brazil
447,3,1546,2,25,2020-03-22,Brazil
448,4,1924,2,34,2020-03-23,Brazil
449,5,2247,2,46,2020-03-24,Brazil
450,6,2554,2,59,2020-03-25,Brazil
451,7,2985,6,77,2020-03-26,Brazil
452,8,3417,6,92,2020-03-27,Brazil
453,9,3904,6,111,2020-03-28,Brazil
454,10,4256,6,136,2020-03-29,Brazil
455,11,4579,120,159,2020-03-30,Brazil
456,12,5717,127,201,2020-03-31,Brazil
457,13,6836,127,240,2020-04-01,Brazil
458,14,8044,127,324,2020-04-02,Brazil
459,15,9056,127,359,2020-04-03,Brazil
460,16,10360,127,445,2020-04-04,Brazil
461,17,11130,127,486,2020-04-05,Brazil
462,18,12161,127,564,2020-04-06,Brazil
463,19,14034,127,686,2020-04-07,Brazil
464,20,16170,127,819,2020-04-08,Brazil
465,21,18092,173,950,2020-04-09,Brazil
466,22,19638,173,1057,2020-04-10,Brazil
467,23,20727,173,1124,2020-04-11,Brazil
468,24,22192,173,1223,2020-04-12,Brazil
469,25,23430,173,1328,2020-04-13,Brazil
470,26,25262,3046,1532,2020-04-14,Brazil
471,27,28320,14026,1736,2020-04-15,Brazil
472,28,30425,14026,1924,2020-04-16,Brazil
473,29,33682,14026,2141,2020-04-17,Brazil
474,30,36658,14026,2354,2020-04-18,Brazil
475,31,38654,22130,2462,2020-04-19,Brazil
476,32,40743,22130,2587,2020-04-20,Brazil
477,33,43079,22991,2741,2020-04-21,Brazil
478,34,45757,25318,2906,2020-04-22,Brazil
479,35,50036,26573,3331,2020-04-23,Brazil
480,36,54043,27655,3704,2020-04-24,Brazil
481,37,59324,29160,4057,2020-04-25,Brazil
482,38,63100,30152,4286,2020-04-26,Brazil
483,39,67446,31142,4603,2020-04-27,Brazil
484,40,73235,32544,5083,2020-04-28,Brazil
485,41,79685,34132,5513,2020-04-29,Brazil
486,42,87187,35935,6006,2020-04-30,Brazil
487,43,92202,38039,6412,2020-05-01,Brazil
488,44,97100,40937,6761,2020-05-02,Brazil
489,45,101826,42991,7051,2020-05-03,Brazil
490,46,108620,45815,7367,2020-05-04,Brazil
491,0,593,123,43,2020-02-29,Iran
492,1,978,175,54,2020-03-01,Iran
493,2,1501,291,66,2020-03-02,Iran
494,3,2336,291,77,2020-03-03,Iran
495,4,2922,552,92,2020-03-04,Iran
496,5,3513,739,107,2020-03-05,Iran
497,6,4747,913,124,2020-03-06,Iran
498,7,5823,1669,145,2020-03-07,Iran
499,8,6566,2134,194,2020-03-08,Iran
500,9,7161,2394,237,2020-03-09,Iran
501,10,8042,2731,291,2020-03-10,Iran
502,11,9000,2959,354,2020-03-11,Iran
503,12,10075,2959,429,2020-03-13,Iran
504,13,11364,2959,514,2020-03-12,Iran
505,14,12729,2959,611,2020-03-14,Iran
506,15,13938,4590,724,2020-03-15,Iran
507,16,14991,4590,853,2020-03-16,Iran
508,17,16169,5389,988,2020-03-17,Iran
509,18,17361,5389,1135,2020-03-18,Iran
510,19,18407,5710,1284,2020-03-19,Iran
511,20,19644,6745,1433,2020-03-20,Iran
512,21,20610,7635,1556,2020-03-21,Iran
513,22,21638,7635,1685,2020-03-22,Iran
514,23,23049,8376,1812,2020-03-23,Iran
515,24,24811,8913,1934,2020-03-24,Iran
516,25,27017,9625,2077,2020-03-25,Iran
517,26,29406,10457,2234,2020-03-26,Iran
518,27,32332,11133,2378,2020-03-27,Iran
519,28,35408,11679,2517,2020-03-28,Iran
520,29,38309,12391,2640,2020-03-29,Iran
521,30,41495,13911,2757,2020-03-30,Iran
522,31,44605,14656,2898,2020-03-31,Iran
523,32,47593,15473,3036,2020-04-01,Iran
524,33,50468,16711,3160,2020-04-02,Iran
525,34,53183,17935,3294,2020-04-03,Iran
526,35,55743,19736,3452,2020-04-04,Iran
527,36,58226,19736,3603,2020-04-05,Iran
528,37,60500,24236,3739,2020-04-06,Iran
529,38,62589,27039,3872,2020-04-07,Iran
530,39,64586,29812,3993,2020-04-08,Iran
531,40,66220,32309,4110,2020-04-09,Iran
532,41,68192,35465,4232,2020-04-10,Iran
533,42,70029,41947,4357,2020-04-11,Iran
534,43,71686,43894,4474,2020-04-12,Iran
535,44,73303,45983,4585,2020-04-13,Iran
536,45,74877,48129,4683,2020-04-14,Iran
537,46,76389,49933,4777,2020-04-15,Iran
538,47,77995,52229,4869,2020-04-16,Iran
539,48,79494,54064,4958,2020-04-17,Iran
540,49,80868,55987,5031,2020-04-18,Iran
541,50,82211,57023,5118,2020-04-19,Iran
542,51,83505,59273,5209,2020-04-20,Iran
543,52,84802,60965,5297,2020-04-21,Iran
544,53,85996,63113,5391,2020-04-22,Iran
545,54,87026,64843,5481,2020-04-23,Iran
546,55,88194,66599,5574,2020-04-24,Iran
547,56,89328,68193,5650,2020-04-25,Iran
548,57,90481,69657,5710,2020-04-26,Iran
549,58,91472,70933,5806,2020-04-27,Iran
550,59,92584,72439,5877,2020-04-28,Iran
551,60,93657,73791,5957,2020-04-29,Iran
552,61,94640,75103,6028,2020-04-30,Iran
553,62,95646,76318,6091,2020-05-01,Iran
554,63,96448,77350,6156,2020-05-02,Iran
555,64,97424,78422,6203,2020-05-03,Iran
556,65,98647,79379,6277,2020-05-04,Iran
